athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status,gender,source
Courtney Williams,Clemson,ACC,400m,2022,SO,,,54.26,s,Florida Relays,2022-03-31,Final,7.0,,Outdoor,https://api.tfrrs.org/athletes/7746088/Clemson/Courtney_Williams.html,verified 2022 outdoor result; multi-source working audit,,
Antoinette Van der Merwe,Clemson,ACC,100H,2022,SO,,,13.47,s,Tennessee Relays,2022-04-07,Final,,1.4,Outdoor,https://m.tfrrs.org/athletes/7738675/Clemson/Antoinette_Van_der_Merwe,verified 2022 outdoor result; multi-source working audit,,
Trishauna Hemmings,Clemson,ACC,100H,2022,SR,,,13.24,s,Tennessee Relays,2022-04-07,Final,1.0,1.4,Outdoor,https://www.tfrrs.org/athletes/7572118/Clemson/Trishauna_Hemmings.html,verified 2022 outdoor result; multi-source working audit,,
Mackenzie Osher,Clemson,ACC,400H,2022,FR,,,65.08,s,Tennessee Relays,2022-04-07,Final,4.0,,Outdoor,https://indiana.tfrrs.org/athletes/7974396/Clemson/Mackenzie_Osher,verified 2022 outdoor result; multi-source working audit,,
Nicolee Foster,Clemson,ACC,400H,2022,SR,,,66.21,s,Tennessee Relays,2022-04-07,Final,6.0,,Outdoor,https://tf.tfrrs.org/athletes/7490019/Clemson/Nicolee_Foster.html,verified 2022 outdoor result; multi-source working audit,,
Olivia Cooney,Clemson,ACC,400H,2022,JR,,,65.56,s,Tennessee Relays,2022-04-07,Final,7.0,,Outdoor,https://tfrrs.org/athletes/7004000/Clemson/Olivia_Cooney.html,verified 2022 outdoor result; multi-source working audit,,
Antoinette Van der Merwe,Clemson,ACC,100H,2022,SO,,,13.63,s,UF Tom Jones Memorial,2022-04-15,Final,,1.5,Outdoor,https://m.tfrrs.org/athletes/7738675/Clemson/Antoinette_Van_der_Merwe,verified 2022 outdoor result; multi-source working audit,,
Trishauna Hemmings,Clemson,ACC,100H,2022,SR,,,13.19,s,UF Tom Jones Memorial,2022-04-15,Prelim,8.0,1.5,Outdoor,https://www.tfrrs.org/athletes/7572118/Clemson/Trishauna_Hemmings.html,verified 2022 outdoor result; multi-source working audit,,
Mackenzie Osher,Clemson,ACC,400H,2022,FR,,,62.01,s,UF Tom Jones Memorial,2022-04-15,Final,19.0,,Outdoor,https://indiana.tfrrs.org/athletes/7974396/Clemson/Mackenzie_Osher,verified 2022 outdoor result; multi-source working audit,,
Nicolee Foster,Clemson,ACC,400H,2022,SR,,,60.35,s,UF Tom Jones Memorial,2022-04-15,Final,13.0,,Outdoor,https://tf.tfrrs.org/athletes/7490019/Clemson/Nicolee_Foster.html,verified 2022 outdoor result; multi-source working audit,,
Olivia Cooney,Clemson,ACC,400H,2022,JR,,,62.80,s,UF Tom Jones Memorial,2022-04-15,Final,24.0,,Outdoor,https://tfrrs.org/athletes/7004000/Clemson/Olivia_Cooney.html,verified 2022 outdoor result; multi-source working audit,,
Trishauna Hemmings,Clemson,ACC,100H,2022,SR,,,13.27,s,UF Tom Jones Memorial,2022-04-16,Final,8.0,1.9,Outdoor,https://www.tfrrs.org/athletes/7572118/Clemson/Trishauna_Hemmings.html,verified 2022 outdoor result; multi-source working audit,,
Mackenzie Osher,Clemson,ACC,400H,2022,FR,,,62.92,s,UofSC Open,2022-04-23,Final,12.0,,Outdoor,https://indiana.tfrrs.org/athletes/7974396/Clemson/Mackenzie_Osher,verified 2022 outdoor result; multi-source working audit,,
Olivia Cooney,Clemson,ACC,400H,2022,JR,,,62.59,s,UofSC Open,2022-04-23,Final,11.0,,Outdoor,https://tfrrs.org/athletes/7004000/Clemson/Olivia_Cooney.html,verified 2022 outdoor result; multi-source working audit,,
Courtney Williams,Clemson,ACC,400m,2022,SO,,,54.60,s,UofSC Open,2022-04-23,Final,10.0,,Outdoor,https://api.tfrrs.org/athletes/7746088/Clemson/Courtney_Williams.html,verified 2022 outdoor result; multi-source working audit,,
Antoinette Van der Merwe,Clemson,ACC,100H,2022,SO,,,13.94,s,Penn Relays,2022-04-28,Final,,0.5,Outdoor,https://m.tfrrs.org/athletes/7738675/Clemson/Antoinette_Van_der_Merwe,verified 2022 outdoor result; multi-source working audit,,
Trishauna Hemmings,Clemson,ACC,100H,2022,SR,,,13.41,s,Penn Relays,2022-04-28,Prelim,,-0.1,Outdoor,https://www.tfrrs.org/athletes/7572118/Clemson/Trishauna_Hemmings.html,verified 2022 outdoor result; multi-source working audit,,
Kori Carter,Clemson,ACC,400H,2022,JR,,,62.18,s,Penn Relays,2022-04-28,Final,,,Outdoor,https://tf.tfrrs.org/athletes/7490020/Clemson/Kori_Carter,verified 2022 outdoor result; multi-source working audit,,
Mackenzie Osher,Clemson,ACC,400H,2022,FR,,,61.40,s,Penn Relays,2022-04-28,Final,,,Outdoor,https://indiana.tfrrs.org/athletes/7974396/Clemson/Mackenzie_Osher,verified 2022 outdoor result; multi-source working audit,,
Nicolee Foster,Clemson,ACC,400H,2022,SR,,,61.94,s,Penn Relays,2022-04-28,Final,,,Outdoor,https://tf.tfrrs.org/athletes/7490019/Clemson/Nicolee_Foster.html,verified 2022 outdoor result; multi-source working audit,,
Olivia Cooney,Clemson,ACC,400H,2022,JR,,,67.14,s,Penn Relays,2022-04-28,Final,,,Outdoor,https://tfrrs.org/athletes/7004000/Clemson/Olivia_Cooney.html,verified 2022 outdoor result; multi-source working audit,,
Trishauna Hemmings,Clemson,ACC,100H,2022,SR,,,13.62,s,Penn Relays,2022-04-30,Final,,0.3,Outdoor,https://www.tfrrs.org/athletes/7572118/Clemson/Trishauna_Hemmings.html,verified 2022 outdoor result; multi-source working audit,,
Antoinette Van der Merwe,Clemson,ACC,100H,2022,SO,,,13.36,s,ACC Outdoor Track & Field Championships,2022-05-12,Prelim,,0.5,Outdoor,https://m.tfrrs.org/athletes/7738675/Clemson/Antoinette_Van_der_Merwe,verified 2022 outdoor result; multi-source working audit,,
Favor Ezewuzie,Clemson,ACC,100H,2022,SR,,,13.58,s,ACC Outdoor Track & Field Championships,2022-05-12,Prelim,5.0,0.7,Outdoor,https://www.nolefan.org/ref/tf2022_05_14_sid.pdf,verified 2022 outdoor result; multi-source working audit,,
Trishauna Hemmings,Clemson,ACC,100H,2022,SR,,,13.20,s,ACC Outdoor Track & Field Championships,2022-05-12,Prelim,1.0,0.5,Outdoor,https://www.tfrrs.org/athletes/7572118/Clemson/Trishauna_Hemmings.html,verified 2022 outdoor result; multi-source working audit,,
Kori Carter,Clemson,ACC,400H,2022,JR,,,DQ,s,ACC Outdoor Track & Field Championships,2022-05-12,Prelim,,,Outdoor,https://tf.tfrrs.org/athletes/7490020/Clemson/Kori_Carter,verified 2022 outdoor result; multi-source working audit,,
Mackenzie Osher,Clemson,ACC,400H,2022,FR,,,62.74,s,ACC Outdoor Track & Field Championships,2022-05-12,Prelim,14.0,,Outdoor,https://indiana.tfrrs.org/athletes/7974396/Clemson/Mackenzie_Osher,verified 2022 outdoor result; multi-source working audit,,
Nicolee Foster,Clemson,ACC,400H,2022,SR,,,61.01,s,ACC Outdoor Track & Field Championships,2022-05-12,Prelim,8.0,,Outdoor,https://tf.tfrrs.org/athletes/7490019/Clemson/Nicolee_Foster.html,verified 2022 outdoor result; multi-source working audit,,
Olivia Cooney,Clemson,ACC,400H,2022,JR,,,63.33,s,ACC Outdoor Track & Field Championships,2022-05-12,Prelim,15.0,,Outdoor,https://tfrrs.org/athletes/7004000/Clemson/Olivia_Cooney.html,verified 2022 outdoor result; multi-source working audit,,
Courtney Williams,Clemson,ACC,400m,2022,SO,,,54.05,s,ACC Outdoor Track & Field Championships,2022-05-12,Prelim,8.0,,Outdoor,https://api.tfrrs.org/athletes/7746088/Clemson/Courtney_Williams.html,verified 2022 outdoor result; multi-source working audit,,
Antoinette Van der Merwe,Clemson,ACC,100H,2022,SO,,,13.49,s,ACC Outdoor Track & Field Championships,2022-05-14,Final,,0.3,Outdoor,https://m.tfrrs.org/athletes/7738675/Clemson/Antoinette_Van_der_Merwe,verified 2022 outdoor result; multi-source working audit,,
Favor Ezewuzie,Clemson,ACC,100H,2022,SR,,,13.74,s,ACC Outdoor Track & Field Championships,2022-05-14,Final,8.0,0.3,Outdoor,https://www.nolefan.org/ref/tf2022_05_14_sid.pdf,verified 2022 outdoor result; multi-source working audit,,
Trishauna Hemmings,Clemson,ACC,100H,2022,SR,,,13.00,s,ACC Outdoor Track & Field Championships,2022-05-14,Final,1.0,0.3,Outdoor,https://www.tfrrs.org/athletes/7572118/Clemson/Trishauna_Hemmings.html,verified 2022 outdoor result; multi-source working audit,,
Nicolee Foster,Clemson,ACC,400H,2022,SR,,,60.58,s,ACC Outdoor Track & Field Championships,2022-05-14,Final,7.0,,Outdoor,https://tf.tfrrs.org/athletes/7490019/Clemson/Nicolee_Foster.html,verified 2022 outdoor result; multi-source working audit,,
Courtney Williams,Clemson,ACC,400m,2022,SO,,,53.36,s,ACC Outdoor Track & Field Championships,2022-05-14,Final,6.0,,Outdoor,https://api.tfrrs.org/athletes/7746088/Clemson/Courtney_Williams.html,verified 2022 outdoor result; multi-source working audit,,
Antoinette Van der Merwe,Clemson,ACC,100H,2022,SO,,,13.91,s,NCAA East Preliminary Round,2022-05-26,Round 1,,-1.4,Outdoor,https://m.tfrrs.org/athletes/7738675/Clemson/Antoinette_Van_der_Merwe,verified 2022 outdoor result; multi-source working audit,,
Trishauna Hemmings,Clemson,ACC,100H,2022,SR,,,13.23,s,NCAA East Preliminary Round,2022-05-26,Round 1,5.0,-0.6,Outdoor,https://www.tfrrs.org/athletes/7572118/Clemson/Trishauna_Hemmings.html,verified 2022 outdoor result; multi-source working audit,,
Courtney Williams,Clemson,ACC,400m,2022,SO,,,53.72,s,NCAA East Preliminary Round,2022-05-26,Round 1,31.0,,Outdoor,https://api.tfrrs.org/athletes/7746088/Clemson/Courtney_Williams.html,verified 2022 outdoor result; multi-source working audit,,
Trishauna Hemmings,Clemson,ACC,100H,2022,SR,,,13.13,s,NCAA East Preliminary Round,2022-05-28,Quarterfinal,6.0,-0.7,Outdoor,https://www.tfrrs.org/athletes/7572118/Clemson/Trishauna_Hemmings.html,verified 2022 outdoor result; multi-source working audit,,
Trishauna Hemmings,Clemson,ACC,100H,2022,SR,,,13.04,s,NCAA Division I Outdoor Track & Field Championships,2022-06-09,Semifinal,11.0,0.5,Outdoor,https://www.tfrrs.org/athletes/7572118/Clemson/Trishauna_Hemmings.html,verified 2022 outdoor result; multi-source working audit,,
Brianna Smith,Duke,ACC,100H,2022,SO,,,14.45,s,High Point - Bob Davidson Memorial,2022-03-18,Final,,1.7,Outdoor,https://nh.tfrrs.org/athletes/7723645/Duke/Brianna_Smith,verified 2022 outdoor result,,
Zoe Hughes,Duke,ACC,100H,2022,GR,,,13.93,s,High Point - Bob Davidson Memorial,2022-03-18,Final,,3.1,Outdoor,https://www.tfrrs.org/athletes/7723651/Duke/Zoe_Hughes.html,verified 2022 outdoor result,,
Lauren Hoffman,Duke,ACC,400H,2022,GR,,,56.53,s,High Point - Bob Davidson Memorial,2022-03-18,Final,1.0,,Outdoor,https://goduke.com/sports/track-and-field/roster/lauren-hoffman/17738,verified 2022 outdoor result,,
Meredith Sims,Duke,ACC,400m,2022,FR,,,59.59,s,High Point - Bob Davidson Memorial,2022-03-18,Final,15.0,,Outdoor,https://indiana.tfrrs.org/athletes/7975661/Duke/Meredith_Sims,verified 2022 outdoor result,,
Zoe Hughes,Duke,ACC,Long Jump,2022,GR,,,6.04,m,High Point - Bob Davidson Memorial,2022-03-18,Final,,2.9,Outdoor,https://www.tfrrs.org/athletes/7723651/Duke/Zoe_Hughes.html,verified 2022 outdoor result,,
Erin Marsh,Duke,ACC,100H,2022,GR,,,13.69,s,Texas Relays,2022-03-23,Heptathlon,3.0,-0.5,Outdoor,https://www.tfrrs.org/athletes/6583376/Duke/Erin_Marsh.html,verified 2022 outdoor result,,
Isabel Wakefield,Duke,ACC,100H,2022,SR,,,13.26,s,Texas Relays,2022-03-23,Heptathlon,1.0,1.6,Outdoor,https://indiana.tfrrs.org/athletes/7020659/Duke/Isabel_Wakefield,verified 2022 outdoor result,,
Lauren Hoffman,Duke,ACC,400H,2022,GR,,,56.55,s,Texas Relays,2022-03-23,Final,2.0,,Outdoor,https://goduke.com/sports/track-and-field/roster/lauren-hoffman/17738,verified 2022 outdoor result,,
Erin Marsh,Duke,ACC,Long Jump,2022,GR,,,5.99,m,Texas Relays,2022-03-23,Heptathlon,4.0,1.9,Outdoor,https://www.tfrrs.org/athletes/6583376/Duke/Erin_Marsh.html,verified 2022 outdoor result,,
Isabel Wakefield,Duke,ACC,Long Jump,2022,SR,,,6.02,m,Texas Relays,2022-03-23,Heptathlon,3.0,1.0,Outdoor,https://indiana.tfrrs.org/athletes/7020659/Duke/Isabel_Wakefield,verified 2022 outdoor result,,
Zoe Hughes,Duke,ACC,Long Jump,2022,GR,,,5.98,m,Texas Relays,2022-03-23,Heptathlon,5.0,2.1,Outdoor,https://www.tfrrs.org/athletes/7723651/Duke/Zoe_Hughes.html,verified 2022 outdoor result,,
Carly King,Duke,ACC,400m,2022,JR,,,55.75,s,Raleigh Relays,2022-03-24,Final,,,Outdoor,https://nh.tfrrs.org/athletes/7527990/Duke/Carly_King.html,verified 2022 outdoor result,,
Meredith Sims,Duke,ACC,400m,2022,FR,,,59.40,s,Raleigh Relays,2022-03-24,Final,74.0,,Outdoor,https://indiana.tfrrs.org/athletes/7975661/Duke/Meredith_Sims,verified 2022 outdoor result,,
Nikki Merritt,Duke,ACC,Long Jump,2022,SR,,,5.85,m,Raleigh Relays,2022-03-24,Final,5.0,,Outdoor,https://goduke.com/sports/track-and-field/roster/nikki-merritt/17760,verified 2022 outdoor result,,
Nikki Merritt,Duke,ACC,Long Jump,2022,SR,,,5.79,m,Virginia Invitational,2022-04-03,Final,9.0,,Outdoor,https://goduke.com/sports/track-and-field/roster/nikki-merritt/17760,verified 2022 outdoor result,,
Brianna Smith,Duke,ACC,100H,2022,SO,,,14.30,s,Duke Invitational,2022-04-07,Final,,1.8,Outdoor,https://nh.tfrrs.org/athletes/7723645/Duke/Brianna_Smith,verified 2022 outdoor result,,
Chyler Turner,Duke,ACC,100H,2022,FR,,,13.76,s,Duke Invitational,2022-04-07,Final,6.0,-0.3,Outdoor,https://indiana.tfrrs.org/athletes/7975662/Duke/Chyler_Turner,verified 2022 outdoor result,,
Isabel Wakefield,Duke,ACC,100H,2022,SR,,,13.26,s,Duke Invitational,2022-04-07,Final,3.0,-0.3,Outdoor,https://indiana.tfrrs.org/athletes/7020659/Duke/Isabel_Wakefield,verified 2022 outdoor result,,
Chyler Turner,Duke,ACC,400H,2022,FR,,,63.12,s,Duke Invitational,2022-04-07,Final,8.0,,Outdoor,https://indiana.tfrrs.org/athletes/7975662/Duke/Chyler_Turner,verified 2022 outdoor result,,
Lauren Hoffman,Duke,ACC,400H,2022,GR,,,56.52,s,Duke Invitational,2022-04-07,Final,1.0,,Outdoor,https://goduke.com/sports/track-and-field/roster/lauren-hoffman/17738,verified 2022 outdoor result,,
Meredith Sims,Duke,ACC,400H,2022,FR,,,65.13,s,Duke Invitational,2022-04-07,Final,17.0,,Outdoor,https://indiana.tfrrs.org/athletes/7975661/Duke/Meredith_Sims,verified 2022 outdoor result,,
Nikki Merritt,Duke,ACC,400H,2022,SR,,,62.26,s,Duke Invitational,2022-04-07,Final,7.0,,Outdoor,https://tfrrs.org/athletes/7020658/Duke/Nikki_Merritt,verified 2022 outdoor result,,
Carly King,Duke,ACC,400m,2022,JR,,,53.76,s,Duke Invitational,2022-04-07,Final,2.0,,Outdoor,https://nh.tfrrs.org/athletes/7527990/Duke/Carly_King.html,verified 2022 outdoor result,,
Jenna Crean,Duke,ACC,400m,2022,JR,,,54.18,s,Duke Invitational,2022-04-07,Final,5.0,,Outdoor,https://nh.tfrrs.org/athletes/7527989/Duke/Jenna_Crean.html,verified 2022 outdoor result,,
Kiara Ekeigwe,Duke,ACC,400m,2022,SO,,,58.53,s,Duke Invitational,2022-04-07,Final,28.0,,Outdoor,https://www.tfrrs.org/results/74378/4483040/Duke_Invitational/400-Meters,verified 2022 outdoor result,,
Megan McGinnis,Duke,ACC,400m,2022,FR,,,54.04,s,Duke Invitational,2022-04-07,Final,3.0,,Outdoor,https://www.tfrrs.org/athletes/7975659/Duke/Megan_McGinnis.html,verified 2022 outdoor result,,
Nikki Merritt,Duke,ACC,Long Jump,2022,SR,,,5.99,m,Tobacco Road Challenge,2022-04-10,Final,2.0,,Outdoor,https://goduke.com/sports/track-and-field/roster/nikki-merritt/17760,verified 2022 outdoor result,,
Chyler Turner,Duke,ACC,100H,2022,FR,,,13.78,s,High Point - Meet of Champions,2022-04-15,Final,4.0,2.1,Outdoor,https://indiana.tfrrs.org/athletes/7975662/Duke/Chyler_Turner,verified 2022 outdoor result,,
Isabel Wakefield,Duke,ACC,100H,2022,SR,,,DNF,s,High Point - Meet of Champions,2022-04-15,Final,,2.1,Outdoor,https://indiana.tfrrs.org/athletes/7020659/Duke/Isabel_Wakefield,verified 2022 outdoor result,,
Zoe Hughes,Duke,ACC,100H,2022,GR,,,13.79,s,High Point - Meet of Champions,2022-04-15,Final,5.0,2.1,Outdoor,https://www.tfrrs.org/athletes/7723651/Duke/Zoe_Hughes.html,verified 2022 outdoor result,,
Chyler Turner,Duke,ACC,400H,2022,FR,,,66.03,s,High Point - Meet of Champions,2022-04-15,Final,14.0,,Outdoor,https://indiana.tfrrs.org/athletes/7975662/Duke/Chyler_Turner,verified 2022 outdoor result,,
Isabel Wakefield,Duke,ACC,400H,2022,SR,,,DNF,s,High Point - Meet of Champions,2022-04-15,Final,,,Outdoor,https://indiana.tfrrs.org/athletes/7020659/Duke/Isabel_Wakefield,verified 2022 outdoor result,,
Lauren Hoffman,Duke,ACC,400H,2022,GR,,,56.12,s,High Point - Meet of Champions,2022-04-15,Final,1.0,,Outdoor,https://goduke.com/sports/track-and-field/roster/lauren-hoffman/17738,verified 2022 outdoor result,,
Meredith Sims,Duke,ACC,400H,2022,FR,,,64.14,s,High Point - Meet of Champions,2022-04-15,Final,10.0,,Outdoor,https://indiana.tfrrs.org/athletes/7975661/Duke/Meredith_Sims,verified 2022 outdoor result,,
Nikki Merritt,Duke,ACC,400H,2022,SR,,,61.22,s,High Point - Meet of Champions,2022-04-15,Final,3.0,,Outdoor,https://tfrrs.org/athletes/7020658/Duke/Nikki_Merritt,verified 2022 outdoor result,,
Abby Geiser,Duke,ACC,400m,2022,FR,,,56.13,s,High Point - Meet of Champions,2022-04-15,Final,7.0,,Outdoor,https://www.tfrrs.org/athletes/7975663/Duke/Abby_Geiser,verified 2022 outdoor result,,
Carly King,Duke,ACC,400m,2022,JR,,,54.46,s,High Point - Meet of Champions,2022-04-15,Final,3.0,,Outdoor,https://nh.tfrrs.org/athletes/7527990/Duke/Carly_King.html,verified 2022 outdoor result,,
Kiara Ekeigwe,Duke,ACC,400m,2022,SO,,,57.32,s,High Point - Meet of Champions,2022-04-15,Final,12.0,,Outdoor,https://www.tfrrs.org/results/74603/4503127/High_Point_-_Meet_of_Champions/400-Meters,verified 2022 outdoor result,,
Megan McGinnis,Duke,ACC,400m,2022,FR,,,53.94,s,High Point - Meet of Champions,2022-04-15,Final,2.0,,Outdoor,https://www.tfrrs.org/athletes/7975659/Duke/Megan_McGinnis.html,verified 2022 outdoor result,,
Zoe Hughes,Duke,ACC,Long Jump,2022,GR,,,6.19,m,High Point - Meet of Champions,2022-04-15,Final,2.0,3.4,Outdoor,https://www.tfrrs.org/athletes/7723651/Duke/Zoe_Hughes.html,verified 2022 outdoor result,,
Brianna Smith,Duke,ACC,100H,2022,SO,,,14.17,s,Virginia Challenge,2022-04-22,Final,,2.5,Outdoor,https://nh.tfrrs.org/athletes/7723645/Duke/Brianna_Smith,verified 2022 outdoor result,,
Chyler Turner,Duke,ACC,100H,2022,FR,,,14.10,s,Virginia Challenge,2022-04-22,Final,12.0,-1.7,Outdoor,https://indiana.tfrrs.org/athletes/7975662/Duke/Chyler_Turner,verified 2022 outdoor result,,
Erin Marsh,Duke,ACC,100H,2022,GR,,,13.40,s,Virginia Challenge,2022-04-22,Final,2.0,0.1,Outdoor,https://www.tfrrs.org/athletes/6583376/Duke/Erin_Marsh.html,verified 2022 outdoor result,,
Zoe Hughes,Duke,ACC,100H,2022,GR,,,14.18,s,Virginia Challenge,2022-04-22,Final,17.0,-1.7,Outdoor,https://www.tfrrs.org/athletes/7723651/Duke/Zoe_Hughes.html,verified 2022 outdoor result,,
Chyler Turner,Duke,ACC,400H,2022,FR,,,DNF,s,Virginia Challenge,2022-04-22,Final,,,Outdoor,https://indiana.tfrrs.org/athletes/7975662/Duke/Chyler_Turner,verified 2022 outdoor result,,
Erin Marsh,Duke,ACC,400H,2022,GR,,,58.45,s,Virginia Challenge,2022-04-22,Final,2.0,,Outdoor,https://www.tfrrs.org/athletes/6583376/Duke/Erin_Marsh.html,verified 2022 outdoor result,,
Nikki Merritt,Duke,ACC,400H,2022,SR,,,59.99,s,Virginia Challenge,2022-04-22,Final,7.0,,Outdoor,https://tfrrs.org/athletes/7020658/Duke/Nikki_Merritt,verified 2022 outdoor result,,
Abby Geiser,Duke,ACC,400m,2022,FR,,,56.00,s,Virginia Challenge,2022-04-22,Final,26.0,,Outdoor,https://www.tfrrs.org/athletes/7975663/Duke/Abby_Geiser,verified 2022 outdoor result,,
Carly King,Duke,ACC,400m,2022,JR,,,54.45,s,Virginia Challenge,2022-04-22,Final,,,Outdoor,https://nh.tfrrs.org/athletes/7527990/Duke/Carly_King.html,verified 2022 outdoor result,,
Hailey Williams,Duke,ACC,400m,2022,SO,,,56.58,s,Virginia Challenge,2022-04-22,Final,33.0,,Outdoor,https://tfrrs.org/athletes/7723644/Duke/Hailey_Williams.html,verified 2022 outdoor result,,
Jenna Crean,Duke,ACC,400m,2022,JR,,,54.48,s,Virginia Challenge,2022-04-22,Final,5.0,,Outdoor,https://nh.tfrrs.org/athletes/7527989/Duke/Jenna_Crean.html,verified 2022 outdoor result,,
Megan McGinnis,Duke,ACC,400m,2022,FR,,,54.51,s,Virginia Challenge,2022-04-22,Final,6.0,,Outdoor,https://www.tfrrs.org/athletes/7975659/Duke/Megan_McGinnis.html,verified 2022 outdoor result,,
Erin Marsh,Duke,ACC,Long Jump,2022,GR,,,6.18,m,Virginia Challenge,2022-04-22,Final,4.0,0.9,Outdoor,https://www.tfrrs.org/athletes/6583376/Duke/Erin_Marsh.html,verified 2022 outdoor result,,
Isabel Wakefield,Duke,ACC,Long Jump,2022,SR,,,6.24,m,Virginia Challenge,2022-04-22,Final,2.0,0.2,Outdoor,https://indiana.tfrrs.org/athletes/7020659/Duke/Isabel_Wakefield,verified 2022 outdoor result,,
Chyler Turner,Duke,ACC,100H,2022,FR,,,14.07,s,Virginia Grand Prix,2022-05-01,Final,3.0,-0.1,Outdoor,https://indiana.tfrrs.org/athletes/7975662/Duke/Chyler_Turner,verified 2022 outdoor result,,
Erin Marsh,Duke,ACC,100H,2022,GR,,,13.48,s,Virginia Grand Prix,2022-05-01,Final,2.0,-0.1,Outdoor,https://www.tfrrs.org/athletes/6583376/Duke/Erin_Marsh.html,verified 2022 outdoor result,,
Isabel Wakefield,Duke,ACC,100H,2022,SR,,,13.30,s,Virginia Grand Prix,2022-05-01,Final,1.0,-0.1,Outdoor,https://indiana.tfrrs.org/athletes/7020659/Duke/Isabel_Wakefield,verified 2022 outdoor result,,
Chyler Turner,Duke,ACC,400H,2022,FR,,,DNF,s,Virginia Grand Prix,2022-05-01,Final,,,Outdoor,https://indiana.tfrrs.org/athletes/7975662/Duke/Chyler_Turner,verified 2022 outdoor result,,
Hailey Williams,Duke,ACC,400m,2022,SO,,,58.04,s,Virginia Grand Prix,2022-05-01,Final,8.0,,Outdoor,https://tfrrs.org/athletes/7723644/Duke/Hailey_Williams.html,verified 2022 outdoor result,,
Jenna Crean,Duke,ACC,400m,2022,JR,,,54.47,s,Virginia Grand Prix,2022-05-01,Final,4.0,,Outdoor,https://nh.tfrrs.org/athletes/7527989/Duke/Jenna_Crean.html,verified 2022 outdoor result,,
Megan McGinnis,Duke,ACC,400m,2022,FR,,,54.25,s,Virginia Grand Prix,2022-05-01,Final,3.0,,Outdoor,https://www.tfrrs.org/athletes/7975659/Duke/Megan_McGinnis.html,verified 2022 outdoor result,,
